// Time;Sensor5;Sensor6
9 lug 2025, 05:00:00;26,60;53,59
9 lug 2025, 06:00:00;26,61;52,52
9 lug 2025, 07:00:00;4,20;2,63
9 lug 2025, 08:00:00;15,65;7,91
9 lug 2025, 09:00:00;11,60;7,91
9 lug 2025, 10:00:00;12,04;10,25
9 lug 2025, 11:00:00;21,77;10,26
9 lug 2025, 12:00:00;20,72;11,54
9 lug 2025, 13:00:00;17,40;25,07
9 lug 2025, 14:00:00;25,25;26,15
9 lug 2025, 15:00:00;23,55;22,94
9 lug 2025, 16:00:00;24,26;29,10
9 lug 2025, 17:00:00;25,03;24,15
9 lug 2025, 18:00:00;24,70;32,41
9 lug 2025, 19:00:00;25,78;32,44
9 lug 2025, 20:00:00;25,73;26,10
9 lug 2025, 21:00:00;24,83;35,65
9 lug 2025, 22:00:00;26,09;33,96
9 lug 2025, 23:00:00;26,15;27,30
10 lug 2025, 00:00:00;26,13;36,23
10 lug 2025, 01:00:00;26,21;33,13
10 lug 2025, 02:00:00;26,13;28,59
10 lug 2025, 03:00:00;26,16;26,21
10 lug 2025, 04:00:00;26,19;39,39
10 lug 2025, 05:00:00;26,19;40,17
10 lug 2025, 06:00:00;26,15;39,03
10 lug 2025, 07:00:00;25,86;40,28
10 lug 2025, 08:00:00;25,65;40,64
10 lug 2025, 09:00:00;25,61;43,20
10 lug 2025, 10:00:00;25,69;42,64
10 lug 2025, 11:00:00;25,67;42,01
10 lug 2025, 12:00:00;25,95;44,44
10 lug 2025, 13:00:00;25,88;44,49
10 lug 2025, 14:00:00;25,88;46,61
10 lug 2025, 15:00:00;25,98;44,82
10 lug 2025, 16:00:00;25,89;46,53
10 lug 2025, 17:00:00;25,83;46,92
10 lug 2025, 18:00:00;25,89;46,52
10 lug 2025, 19:00:00;26,04;47,31
10 lug 2025, 20:00:00;26,01;47,44
10 lug 2025, 21:00:00;26,12;46,41
10 lug 2025, 22:00:00;26,19;48,11
10 lug 2025, 23:00:00;26,12;47,74
11 lug 2025, 00:00:00;26,21;46,58
11 lug 2025, 01:00:00;26,24;48,54
11 lug 2025, 02:00:00;26,25;48,75
11 lug 2025, 03:00:00;26,20;47,54
11 lug 2025, 04:00:00;26,21;48,55
11 lug 2025, 05:00:00;26,22;48,52
11 lug 2025, 06:00:00;26,10;48,54
11 lug 2025, 07:00:00;25,91;49,13
11 lug 2025, 08:00:00;25,66;48,57
11 lug 2025, 09:00:00;25,68;48,03
11 lug 2025, 10:00:00;25,46;49,16
11 lug 2025, 11:00:00;25,34;48,17
11 lug 2025, 12:00:00;25,29;48,97
11 lug 2025, 13:00:00;25,24;50,35
11 lug 2025, 14:00:00;25,33;49,12
11 lug 2025, 15:00:00;25,24;50,80
11 lug 2025, 16:00:00;25,18;50,54
11 lug 2025, 17:00:00;25,14;49,94
11 lug 2025, 18:00:00;25,34;50,63
11 lug 2025, 19:00:00;25,51;50,64
11 lug 2025, 20:00:00;25,53;49,94
11 lug 2025, 21:00:00;25,66;50,78
11 lug 2025, 22:00:00;25,78;50,35
11 lug 2025, 23:00:00;25,93;50,70
