// Time;RH1;Temp1
27 giu 2025, 10:00:00;60,42;27,20
27 giu 2025, 11:00:00;67,28;27,47
27 giu 2025, 12:00:00;68,89;27,68
27 giu 2025, 13:00:00;69,73;27,80
27 giu 2025, 14:00:00;69,88;27,88
27 giu 2025, 15:00:00;70,98;27,92
27 giu 2025, 16:00:00;71,16;27,97
27 giu 2025, 17:00:00;71,78;27,95
27 giu 2025, 18:00:00;71,73;27,92
27 giu 2025, 19:00:00;70,97;27,77
27 giu 2025, 20:00:00;70,71;27,63
27 giu 2025, 21:00:00;70,89;27,60
27 giu 2025, 22:00:00;71,00;27,58
27 giu 2025, 23:00:00;70,99;27,59
28 giu 2025, 00:00:00;70,46;27,55
28 giu 2025, 01:00:00;68,85;27,49
28 giu 2025, 02:00:00;67,09;27,42
28 giu 2025, 03:00:00;65,31;27,34
28 giu 2025, 04:00:00;63,65;27,29
28 giu 2025, 05:00:00;62,75;27,30
28 giu 2025, 06:00:00;62,86;27,32
28 giu 2025, 07:00:00;63,11;27,38
28 giu 2025, 08:00:00;63,23;27,43
28 giu 2025, 09:00:00;63,29;27,47
28 giu 2025, 10:00:00;63,08;27,48
28 giu 2025, 11:00:00;63,06;27,52
28 giu 2025, 12:00:00;63,02;27,56
28 giu 2025, 13:00:00;63,35;27,60
28 giu 2025, 14:00:00;63,50;27,66
28 giu 2025, 15:00:00;64,02;27,73
28 giu 2025, 16:00:00;64,09;27,76
28 giu 2025, 17:00:00;63,75;27,81
28 giu 2025, 18:00:00;63,16;27,79
28 giu 2025, 19:00:00;62,61;27,80
28 giu 2025, 20:00:00;62,39;27,80
28 giu 2025, 21:00:00;62,37;27,80
28 giu 2025, 22:00:00;62,27;27,82
28 giu 2025, 23:00:00;62,21;27,82
29 giu 2025, 00:00:00;62,26;27,85
29 giu 2025, 01:00:00;62,37;27,84
29 giu 2025, 02:00:00;62,40;27,87
29 giu 2025, 03:00:00;62,23;27,87
29 giu 2025, 04:00:00;62,10;27,89
29 giu 2025, 05:00:00;62,25;27,90
29 giu 2025, 06:00:00;62,35;27,93
29 giu 2025, 07:00:00;62,38;27,93
29 giu 2025, 08:00:00;62,31;27,95
29 giu 2025, 09:00:00;62,26;27,95
29 giu 2025, 10:00:00;62,07;27,95
29 giu 2025, 11:00:00;61,47;27,97
29 giu 2025, 12:00:00;60,13;28,00
29 giu 2025, 13:00:00;58,72;28,01
29 giu 2025, 14:00:00;57,98;28,02
29 giu 2025, 15:00:00;57,39;28,04
29 giu 2025, 16:00:00;57,65;28,05
29 giu 2025, 17:00:00;58,14;28,11
29 giu 2025, 18:00:00;58,91;28,17
29 giu 2025, 19:00:00;59,24;28,18
29 giu 2025, 20:00:00;58,94;28,18
29 giu 2025, 21:00:00;58,65;28,20
29 giu 2025, 22:00:00;58,74;28,18
29 giu 2025, 23:00:00;58,75;28,21
30 giu 2025, 00:00:00;58,73;28,21
30 giu 2025, 01:00:00;58,74;28,22
30 giu 2025, 02:00:00;58,82;28,25
30 giu 2025, 03:00:00;59,00;28,26
30 giu 2025, 04:00:00;59,23;28,30
30 giu 2025, 05:00:00;59,42;28,31
30 giu 2025, 06:00:00;58,39;28,33
30 giu 2025, 07:00:00;56,72;28,42
30 giu 2025, 08:00:00;56,35;28,53
30 giu 2025, 09:00:00;56,43;28,65
30 giu 2025, 10:00:00;58,73;28,82
30 giu 2025, 11:00:00;59,01;29,03
30 giu 2025, 12:00:00;56,21;29,14
30 giu 2025, 13:00:00;55,13;29,12
30 giu 2025, 14:00:00;53,56;29,15
30 giu 2025, 15:00:00;50,17;29,09
30 giu 2025, 16:00:00;47,81;29,05
30 giu 2025, 17:00:00;48,14;29,09
30 giu 2025, 18:00:00;48,71;29,09
30 giu 2025, 19:00:00;50,07;28,95
30 giu 2025, 20:00:00;51,14;28,89
30 giu 2025, 21:00:00;51,92;28,85
30 giu 2025, 22:00:00;52,66;28,86
30 giu 2025, 23:00:00;53,56;28,87
1 lug 2025, 00:00:00;54,14;28,88
1 lug 2025, 01:00:00;54,61;28,86
1 lug 2025, 02:00:00;55,03;28,85
1 lug 2025, 03:00:00;55,48;28,84
1 lug 2025, 04:00:00;55,84;28,84
1 lug 2025, 05:00:00;56,12;28,83
1 lug 2025, 06:00:00;56,32;28,84
1 lug 2025, 07:00:00;56,67;28,96
1 lug 2025, 08:00:00;53,75;28,99
1 lug 2025, 09:00:00;52,43;29,00
1 lug 2025, 10:00:00;53,13;29,09
1 lug 2025, 11:00:00;59,31;29,33
1 lug 2025, 12:00:00;59,35;29,60
1 lug 2025, 13:00:00;59,77;29,65
1 lug 2025, 14:00:00;60,25;29,72
1 lug 2025, 15:00:00;60,28;29,72
